Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26
"用于“Name of Satellite, Alternate Names”的 COUNTA",,Purpose,,,,,,,,,,,,,,,,,,,,,,,
Country of Operator/Owner,Year of Launch,Communications,Communications/Earth Observation,Communications/Maritime Tracking,Communications/Navigation,Communications/Technology Development,Earth Obserevation,Earth Observation,Earth Observation ,Earth Observation/Communications,Earth Observation/Communications/Space Science,Earth Observation/Space Science,Earth Observation/Technology Development,Earth Science,Earth Science/Earth Observation,Earth Science/Space Science,Navigation/Global Positioning,Navigation/Regional Positioning,Space Observation,Space Science,Space Science/Technology Development,Technology Demonstration,Technology Development,Technology Development/Educational,总计
Thailand 总计,,4,,,,,,1,,,,,,,,,,,,,,,,,5
Turkey,2008,1,,,,,,,,,,,,,,,,,,,,,,,1
,2009,,,,,,,,,,,,,,,,,,,,,,1,,1
,2011,,,,,,,1,,,,,,,,,,,,,,,,,1
,2012,,,,,,,1,,,,,,,,,,,,,,,,,1
,2014,1,,,,,,,,,,,,,,,,,,,,,,,1
,2015,1,,,,,,,,,,,,,,,,,,,,,,,1
,2016,,,,,,,1,,,,,,,,,,,,,,,,,1
,2017,,,,,,,,,,,,,1,,,,,,,,,1,,2
Turkey 总计,,3,,,,,,3,,,,,,1,,,,,,,,,2,,9
Turkey/France,2001,1,,,,,,,,,,,,,,,,,,,,,,,1
Turkey/France 总计,,1,,,,,,,,,,,,,,,,,,,,,,,1
Turkmenistan/Monaco,2015,1,,,,,,,,,,,,,,,,,,,,,,,1
Turkmenistan/Monaco 总计,,1,,,,,,,,,,,,,,,,,,,,,,,1
Ukraine,2014,,,,,,,,,,,,,,,,,,,,,,1,,1
Ukraine 总计,,,,,,,,,,,,,,,,,,,,,,,1,,1
Ukraine/China,2017,,,,,,,,,,,,,1,,,,,,,,,,,1
Ukraine/China 总计,,,,,,,,,,,,,,1,,,,,,,,,,,1
United Arab Emirates,2003,1,,,,,,,,,,,,,,,,,,,,,,,1
,2008,1,,,,,,,,,,,,,,,,,,,,,,,1
,2009,,,,,,,1,,,,,,,,,,,,,,,,,1
,2011,1,,,,,,,,,,,,,,,,,,,,,,,1
,2012,1,,,,,,,,,,,,,,,,,,,,,,,1
,2013,,,,,,,1,,,,,,,,,,,,,,,,,1
,2017,,,,,1,,,,,,,,,,,,,,,,,,,1
,2018,1,,,,,,,,,,,,,,,,,,,,,,,1
United Arab Emirates 总计,,5,,,,1,,2,,,,,,,,,,,,,,,,,8
United Kingdom,1990,1,,,,,,,,,,,,,,,,,,,,,,,1
,1996,3,,,,,,,,,,,,,,,,,,,,,,,3
,1998,1,,,,,,,,,,,,,,,,,,,,,,,1
,1999,1,,,,,,,,,,,,,,,,,,,,,,,1
,2001,1,,,,,,,,,,,,,,,,,,,,,,,1
,2005,2,,,,,,,,,,,,,,,,,,,,,,,2
,2007,2,,,,,,,,,,,,,,,,,,,,,,,2
,2008,2,,,,,,,,,,,,,,,,,,,,,,,2
,2009,,,,,,,1,,,,,,,,,,,,,,,,,1
,2010,1,,,,,,,,,,,,,,,,,,,,,,,1
,2012,2,,,,,,,,,,,,,,,,,,,,,,,2
,2013,5,,,,,,,,,,,,,,,,,,,,,1,,6
,2014,8,,,,,,,,,,,,,,,,,,,,,2,,10
,2015,2,,,,,,3,,,,,,,,,,,,,,,1,,6
,2017,1,,,,,,,,,,,,,,,,,,,,,3,1,5
,2018,6,,,,,,,,,,,,,,,,,,,,,1,,7
United Kingdom 总计,,38,,,,,,4,,,,,,,,,,,,,,,8,1,51
United Kingdom/ESA,2013,,,,,1,,,,,,,,,,,,,,,,,,,1
United Kingdom/ESA 总计,,,,,,1,,,,,,,,,,,,,,,,,,,1
Uruguay,2014,,,,,,,,,,,,,,,,,,,,,,1,,1
Uruguay 总计,,,,,,,,,,,,,,,,,,,,,,,1,,1
USA,1974,1,,,,,,,,,,,,,,,,,,,,,,,1
,1988,1,,,,,,,,,,,,,,,,,,,,,,,1
,1989,1,,,,,,,,,,,,,,,,,,,,,,,1
,1991,1,,,,,,,,,,,,,,,,,,,,,,,1
,1993,2,,,,,,,,,,,,,,,,,,,,,,,2
,1994,1,,,,,,1,,,,,,,,,,,,,,,,,2
,1995,5,,,,,,,,,,,,,,,,,,,,,,,5
,1996,3,,,,,,1,,,,,,,,,,,,,,,,,4
,1997,31,,,,,,5,,,,,,,,,1,,,,,,,,37
,1998,43,,,,,,2,,,,,,,,,,,,,,,,,45
,1999,20,,,,,,2,,,,,,,,,1,,,1,,,,,24
,2000,15,,,,,,2,,,,,,,,,3,,,,,,1,,21
,2001,5,,,,1,,1,,,,,,,,,1,,,1,,,,,9
,2002,17,,,,,,,,,,,,,,,,,,1,,,,,18
,2003,8,,,,,,3,,,,,,,,,3,,,1,,,,,15
,2004,7,,,,,,2,,,,,,,,,3,,,,,,,,12
,2005,7,,,,,,5,,,,,,,,,1,,,,,,,,13
,2006,6,,,,,,4,,,,,,,,,2,,,,,,1,,13
,2007,14,,,,,,4,,,,,,,,,2,,,,,,3,,23
,2008,7,,,,,,2,,,,,,,,,1,,,2,,,,,12
,2009,8,,,,,,6,,,,,,,,,1,,,,,,3,,18
,2010,13,,,,,,3,,,,,,,,,1,,1,2,,,2,,22
,2011,19,,,,,,5,,,,,,,,,1,,,,,,3,,28
,2012,13,,,,,,6,,,,,,,,,1,,,2,,,5,,27
,2013,15,,,,,,5,,,,,,,,,1,,,1,,,9,,31
,2014,9,,,,,,16,,,,,,,,,4,,2,,,,3,,34
,2015,16,,,,1,,8,,,,,1,,,,3,,,8,,2,10,,49
,2016,10,,,,,,46,,,,,,,,,1,,2,,,,6,,65
,2017,51,,,,,,191,,,,,1,,,,,,,2,,4,14,,263
,2018,19,,,,1,,21,,,,,,,,,,,,1,,1,3,,46
USA 总计,,368,,,,3,,341,,,,,2,,,,31,,5,22,,7,63,,842
USA/Argentina,2009,,,2,,,,,,,,,,,,,,,,,,,,,2
,2013,,,1,,,,,,,,,,,,,,,,,,,,,1
,2014,,,1,,,,,,,,,,,,,,,,,,,,,1
USA/Argentina 总计,,,,4,,,,,,,,,,,,,,,,,,,,,4
USA/Canada,1995,1,,,,,,,,,,,,,,,,,,,,,,,1
,1996,1,,,,,,,,,,,,,,,,,,,,,,,1
USA/Canada 总计,,2,,,,,,,,,,,,,,,,,,,,,,,2
USA/Canada/Japan,1999,,,,,,,1,,,,,,,,,,,,,,,,,1
USA/Canada/Japan 总计,,,,,,,,1,,,,,,,,,,,,,,,,,1
USA/France,2008,,,,,,,1,,,,,,,,,,,,,,,,,1
,2016,,,,,,,1,,,,,,,,,,,,,,,,,1
USA/France 总计,,,,,,,,2,,,,,,,,,,,,,,,,,2
USA/Japan,2003,1,,,,,,,,,,,,,,,,,,,,,,,1
,2007,1,,,,,,,,,,,,,,,,,,,,,,,1
,2012,,,,,,,1,,,,,,,,,,,,,,,,,1
,2014,,,,,,,1,,,,,,,,,,,,,,,,,1
USA/Japan 总计,,2,,,,,,2,,,,,,,,,,,,,,,,,4
USA/Japan/Brazil,2002,,,,,,,1,,,,,,,,,,,,,,,,,1
USA/Japan/Brazil 总计,,,,,,,,1,,,,,,,,,,,,,,,,,1
USA/Korea,2018,,,,,,,,,,,,,,,,,,,,,,1,,1
USA/Korea 总计,,,,,,,,,,,,,,,,,,,,,,,1,,1
USA/Russia,2017,2,,,,,,,,,,,,,,,,,,,,,,,2
USA/Russia 总计,,2,,,,,,,,,,,,,,,,,,,,,,,2
USA/United Kingdom/Italy,2004,,,,,,,,,,,,,,,,,,,1,,,,,1
USA/United Kingdom/Italy 总计,,,,,,,,,,,,,,,,,,,,1,,,,,1
Venezuela,2008,1,,,,,,,,,,,,,,,,,,,,,,,1
,2012,,,,,,,1,,,,,,,,,,,,,,,,,1
,2017,,,,,,,,1,,,,,,,,,,,,,,,,1
Venezuela 总计,,1,,,,,,1,1,,,,,,,,,,,,,,,,3
Vietnam,2008,1,,,,,,,,,,,,,,,,,,,,,,,1
,2012,1,,,,,,,,,,,,,,,,,,,,,,,1
,2013,,,,,,,1,,,,,,,,,,,,,,,,,1
Vietnam 总计,,2,,,,,,1,,,,,,,,,,,,,,,,,3
总计,,774,1,5,1,11,1,646,3,2,1,1,7,21,1,1,109,12,9,66,1,12,200,1,1886
