"Name of Satellite, Alternate Names",Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Class of Orbit,Longitude of GEO (degrees),Perigee,Apogee,Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Date of Launch,Year of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle
"DMSP 5D-2 F14 (Defense Meteorological Satellites Program, USA 131)",USA,USA,DoD/NOAA,Military,Earth Observation,LEO,0,842,855,9.00E-04,98.9,101.9,1134,4/4/1997,1997,5,Lockheed Martin Missiles & Space,USA,Vandenberg AFB,Titan 2
"DMSP 5D-3 F15 (Defense Meteorological Satellites Program, USA 147)",USA,USA,DoD/NOAA,Military,Earth Observation,LEO,0,837,851,9.70E-04,98.9,101.8,1152,12/12/1999,1999,5,Lockheed Martin Missiles & Space,USA,Vandenberg AFB,Titan 2
"DMSP 5D-3 F16 (Defense Meteorological Satellites Program, USA 172)",USA,USA,DoD/NOAA,Military,Earth Observation,LEO,0,843,852,6.23E-04,98.9,101.87,1154,10/18/2003,2003,5,Lockheed Martin Missiles & Space,USA,Vandenberg AFB,Titan 2
"DMSP 5D-3 F17 (Defense Meteorological Satellites Program, USA 173)",USA,USA,DoD/NOAA,Military,Earth Observation,LEO,0,842,855,9.00E-04,98.79,101.89,1154,11/4/2006,2006,5,Lockheed Martin Missiles & Space,USA,Vandenberg AFB,Delta 4
"DMSP 5D-3 F18 (Defense Meteorological Satellites Program, USA 210)",USA,USA,DoD/NOAA,Military,Earth Observation,LEO,0,842,859,1.18E-03,98.93,101.94,1155,10/18/2009,2009,5,Lockheed Martin Missiles & Space,USA,Vandenberg AFB,Atlas 5
Dove 1c-1  (0 Flock 1C-1 0903),USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,605,621,1.15E-03,97.99,96.96,3,6/19/2014,2014,,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr
Dove 1c-10  (0 Flock 1C-10 090C),USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,604,621,1.22E-03,97.99,96.95,3,6/19/2014,2014,,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr
Dove 1c-11 (0 Flock 1C-11 090D),USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,606,622,1.15E-03,97.99,96.98,3,6/19/2014,2014,,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr
Dove 1c-2  (0 Flock 1C-2 0904),USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,605,623,1.29E-03,97.99,96.98,3,6/19/2014,2014,,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr
Dove 1c-3  (0 Flock 1C-3 0905),USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,608,624,1.15E-03,97.99,97.02,3,6/19/2014,2014,,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr
Dove 1c-4  (0 Flock 1C-4 0906),USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,607,622,1.07E-03,97.99,96.98,3,6/19/2014,2014,,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr
Dove 1c-5  (0 Flock 1C-5 0907),USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,606,625,1.36E-03,97.99,97.01,3,6/19/2014,2014,,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr
Dove 1c-6  (0 Flock 1C-6 0908),USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,607,622,1.07E-03,97.99,96.99,3,6/19/2014,2014,,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr
Dove 1c-7  (0 Flock 1C-7 0909),USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,606,620,1.00E-03,97.99,96.96,3,6/19/2014,2014,,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr
Dove 1c-8  (0 Flock 1C-8 090A),USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,607,625,1.29E-03,97.99,97.02,3,6/19/2014,2014,,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr
Dove 1c-9  (0 Flock 1C-9 090B),USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,607,623,1.15E-03,97.99,96.99,3,6/19/2014,2014,,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr
Dove 2e-1 (0 Flock 2E-1 0C37),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,404,407,2.21E-04,51.6,92.6,3,5/17/2016,2016,,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer
Dove 2e-5 (0 Flock 2E-5 0C43),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,399,403,2.95E-04,51.6,92.5,3,5/30/2016,2016,,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer
Dove 2ep-14 (0 Flock 2EP-14 0C56),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,397,408,8.12E-04,51.6,92.6,3,9/15/2016,2016,,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer
Dove 2ep-15 (0 Flock 2EP-15 0C54),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,399,408,6.64E-04,51.6,92.6,3,9/15/2016,2016,,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer
Dove 2ep-17 (0 Flock 2EP-17 0C12),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,398,408,7.38E-04,51.6,92.6,3,9/15/2016,2016,,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer
Dove 2ep-18 (0 Flock 2EP-18 0C44),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,398,408,7.38E-04,51.6,92.6,3,9/16/2016,2016,,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer
Dove 2ep-19 (0 Flock 2EP-19 0C62),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,398,408,7.38E-04,51.6,92.6,3,9/15/2016,2016,,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer
Dove 2ep-20 (0 Flock 2EP-20 0C38),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,398,409,8.12E-04,51.6,92.6,3,9/17/2016,2016,,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer
Dove 2ep-5 (0 Flock 2EP-5 0C59),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,399,402,2.22E-04,51.6,92.5,3,6/1/2016,2016,,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer
Dove 2k-1 (0 Flock 2K-1 0F1A),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,461,476,1.10E-03,97,94,3,7/14/2017,2017,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a
Dove 2k-10 (0 Flock 2K-10 0F32),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,461,475,1.02E-03,97,94,3,7/14/2017,2017,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a
Dove 2k-11 (0 Flock 2K-11 0F33),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,461,475,1.02E-03,97,94,3,7/14/2017,2017,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a
Dove 2k-12 (0 Flock 2K-12 0F36),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,461,475,1.02E-03,97,94,3,7/14/2017,2017,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a
Dove 2k-13 (0 Flock 2K-13 0F37),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,461,475,1.02E-03,97,94,3,7/14/2017,2017,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a
Dove 2k-14 (0 Flock 2K-14 0F3B),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,461,475,1.02E-03,97,94,3,7/14/2017,2017,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a
Dove 2k-15 (0 Flock 2K-15 0F3C),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,461,475,1.02E-03,97,94,3,7/14/2017,2017,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a
Dove 2k-16 (0 Flock 2K-16 0F3D),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,461,475,1.02E-03,97,94,3,7/14/2017,2017,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a
Dove 2k-17 (0 Flock 2K-17 0F40),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,460,475,1.10E-03,97,94,3,7/14/2017,2017,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a
Dove 2k-18 (0 Flock 2K-18 0F44),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,461,475,1.02E-03,97,94,3,7/14/2017,2017,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a
Dove 2k-19 (0 Flock 2K-19 0F46),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,460,475,1.10E-03,97,94,3,7/14/2017,2017,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a
Dove 2k-2 (0 Flock 2K-2 0F1E),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,461,476,1.10E-03,97,94,3,7/14/2017,2017,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a
Dove 2k-20 (0 Flock 2K-20 0F47),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,460,475,1.10E-03,97,94,3,7/14/2017,2017,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a
Dove 2k-21 (0 Flock 2K-21 0F49),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,460,475,1.10E-03,97,94,3,7/14/2017,2017,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a
Dove 2k-22  (0 Flock  2K-22 0F4A),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,460,475,1.10E-03,97,94,3,7/14/2017,2017,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a
Dove 2k-23 (0 Flock 2K-23 0F4B),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,460,475,1.10E-03,97,94,3,7/14/2017,2017,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a
Dove 2k-24 (0 Flock 2K-24 0F4F),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,459,474,1.10E-03,97,94,3,7/14/2017,2017,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a
Dove 2k-25 (0 Flock 2K-25 0F4D),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,459,474,1.10E-03,97,94,3,7/14/2017,2017,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a
Dove 2k-26 (0 Flock 2K-26 0F53),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,459,474,1.10E-03,97,94,3,7/14/2017,2017,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a
Dove 2k-27 (0 Flock 2K-27 0F54),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,459,474,1.10E-03,97,94,3,7/14/2017,2017,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a
Dove 2k-28 (0 Flock 2K-28 1047),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,459,474,1.10E-03,97,94,3,7/14/2017,2017,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a
Dove 2k-29  (0 Flock 2K-29 1048),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,459,474,1.10E-03,97,94,3,7/14/2017,2017,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a
Dove 2k-3 (0 Flock 2K-3 0F21),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,461,476,1.10E-03,97,94,3,7/14/2017,2017,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a
Dove 2k-30 (0 Flock 2K-30 1049),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,459,474,1.10E-03,97,94,3,7/14/2017,2017,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a
Dove 2k-31 (0 Flock 2K-31 104A),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,459,474,1.10E-03,97,94,3,7/14/2017,2017,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a
Dove 2k-32 (0 Flock 2K-32  104B),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,458,475,1.24E-03,97,94,3,7/14/2017,2017,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a
Dove 2k-33 (0 Flock 2K-33 104C),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,458,475,1.24E-03,97,94,3,7/14/2017,2017,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a
Dove 2k-34 (0 Flock 2K-34 104D),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,458,475,1.24E-03,97,94,3,7/14/2017,2017,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a
Dove 2k-35 (0 Flock 2K-35 104E),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,458,475,1.24E-03,97,94,3,7/14/2017,2017,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a
Dove 2k-36 (0 Flock 2K-36 104F),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,458,475,1.24E-03,97,94,3,7/14/2017,2017,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a
Dove 2k-37 (0 Flock 2K-37 1050),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,458,475,1.24E-03,97,94,3,7/14/2017,2017,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a
Dove 2k-38 (0 Flock 2K-38 1051),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,458,475,1.24E-03,97,94,3,7/14/2017,2017,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a
Dove 2k-39 (0 Flock 2K-39 1052),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,458,474,1.17E-03,97,94,3,7/14/2017,2017,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a
Dove 2k-4 (0 Flock 2K-4 0F24),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,461,475,1.02E-03,97,94,3,7/14/2017,2017,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a
Dove 2k-40 (0 Flock 2K-40 1053),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,458,474,1.17E-03,97,94,3,7/14/2017,2017,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a
Dove 2k-41 (0 Flock 2K-41 1054),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,458,474,1.17E-03,97,94,3,7/14/2017,2017,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a
Dove 2k-43 (0 Flock 2K-43 1056),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,458,474,1.17E-03,97,94,3,7/14/2017,2017,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a
Dove 2k-44 (0 Flock 2K-44 1020),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,457,474,1.24E-03,97,94,3,7/14/2017,2017,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a
Dove 2k-45  (0 Flock 2K-45  100D),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,457,474,1.24E-03,97,94,3,7/14/2017,2017,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a
Dove 2k-46 (0 Flock 2K-46 103F),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,457,474,1.24E-03,97,94,3,7/14/2017,2017,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a
Dove 2k-47 (0 Flock 2K-47 1043),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,457,474,1.24E-03,97,94,3,7/14/2017,2017,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a
Dove 2k-48 (0 Flock 2K-48 101C),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,457,474,1.24E-03,97,94,3,7/14/2017,2017,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a
Dove 2k-5 (0  Flock 2K-5 0F29),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,461,475,1.02E-03,97,94,3,7/14/2017,2017,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a
Dove 2k-6 (0 Flock 2K-6 0F2A),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,461,475,1.02E-03,97,94,3,7/14/2017,2017,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a
Dove 2k-7 (0 Flock 2K-7 0F2B),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,461,475,1.02E-03,97,94,3,7/14/2017,2017,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a
Dove 2k-8 (0 Flock 2K-8 0F2D),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,461,475,1.02E-03,97,94,3,7/14/2017,2017,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a
Dove 2k-9 (0 Flock 2K-9 0F2E),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,461,475,1.02E-03,97,94,3,7/14/2017,2017,,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a
Dove 2p-1 ( (0 Flock 2P-1 0E0D),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,500,513,9.45E-04,97.51,94.75,3,6/22/2016,2016,,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV XL
Dove 2p-10 (0 Flock 2P-10 0E2F),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,500,513,9.45E-04,97.51,94.76,3,6/22/2016,2016,,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV XL
Dove 2p-11 (0 Flock 2P-11 0E30),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,496,518,1.60E-03,97.51,94.77,3,6/22/2016,2016,,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV XL
Dove 2p-12 (0 Flock 2P-12 0E3A),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,499,514,1.09E-03,97.51,94.75,3,6/22/2016,2016,,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV XL
Dove 2p-2 (0 Flock 2P-2 (0e0E),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,499,516,1.24E-03,97.51,94.77,3,6/22/2016,2016,,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV XL
Dove 2p-3 (0 Flock 2P-3 (0E0F),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,500,514,1.02E-03,97.51,94.75,3,6/22/2016,2016,,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV XL
Dove 2p-4 (0 Flock 2P-4 0E14),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,499,514,1.09E-03,97.51,94.76,3,6/22/2016,2016,,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV XL
Dove 2p-5 (0 Flock 2P-5 0E16),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,500,514,1.02E-03,97.51,94.75,3,6/22/2016,2016,,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV XL
Dove 2p-6 (0 Flock 2P-6 0E19),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,500,514,1.02E-03,97.51,94.75,3,6/22/2016,2016,,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV XL
Dove 2p-7 (0 Flock 2P-7 0E1F),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,500,514,1.02E-03,97.51,94.75,3,6/22/2016,2016,,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV XL
Dove 2p-8 (0 Flock 2P-8 0E20),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,500,514,1.02E-03,97.51,94.76,3,6/22/2016,2016,,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV XL
Dove 2p-9 (0 Flock 2P-9 0E26),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,500,514,1.02E-03,97.51,94.77,3,6/22/2016,2016,,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV XL
Dove 3 (0177),USA,USA,"Planet Labs, Inc.",Commercial,Technology Development,LEO,0,594,815,1.56E-02,97.7,98.8,3,11/21/2013,2013,,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr
Dove 3m-4 (0 Flock 3M-4 0F4C),NR (3/18),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,499,522,1.67E-03,97.3,94.8,3,10/31/2017,2017,,"Planet Labs, Inc.",USA,Vandenberg AFB,Minotaur-C
Dove 3p-1 (0 Flock 3P-1 1000),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,496,507,8.00E-04,97.5,94.6,3,2/14/2017,2017,,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV
Dove 3p'-1 (0 Flock 3p'1 1100),NR (5/18),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,493,504,8.01E-04,97.5,94.5,3,1/11/2018,2018,,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV
Dove 3p-10 (0 Flock 3P-10 1022),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,496,506,7.28E-04,97.5,94.6,3,2/14/2017,2017,,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV
Dove 3p-11 (0 Flock 3P-11 101F),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,496,506,7.28E-04,97.5,94.6,3,2/14/2017,2017,,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV
Dove 3p-12 (0 Flock 3P-12 1010),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,496,506,7.28E-04,97.5,94.6,3,2/14/2017,2017,,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV
Dove 3p-13 (0 Flock 3P-13 1016),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,495,502,5.10E-04,97.5,94.6,3,2/14/2017,2017,,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV
Dove 3p-14 (0 Flock 3P-14 1018),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,494,502,5.82E-04,97.5,94.6,3,2/14/2017,2017,,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV
Dove 3p-15  (0 Flock 3P-15 101D),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,495,502,5.10E-04,97.5,94.6,3,2/14/2017,2017,,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV
Dove 3p-16 (0 Flock 3P-16 100E),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,494,502,5.82E-04,97.5,94.6,3,2/14/2017,2017,,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV
Dove 3p-17 (0 Flock 3P-17 1023),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,496,507,8.00E-04,97.5,94.6,3,2/14/2017,2017,,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV
Dove 3p-18 (0 Flock 3P-18  102B),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,496,507,8.00E-04,97.5,94.6,3,2/14/2017,2017,,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV
Dove 3p-19 (0 Flock 3P-19 1024),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,496,507,8.00E-04,97.5,94.6,3,2/14/2017,2017,,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV
Dove 3p-2 (0 Flock 3P-2 1001),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,496,506,7.28E-04,97.5,94.6,3,2/14/2017,2017,,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV
Dove 3p'-2 (0 Flock 3p'2 1102),NR (5/18),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,493,504,8.01E-04,97.5,94.5,3,1/11/2018,2018,,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV
Dove 3p-20 (0 Flock 3P-20 1029),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,495,501,4.37E-04,97.5,94.6,3,2/14/2017,2017,,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV
Dove 3p-21 (0 Flock 3P-21 102A),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,496,507,8.00E-04,97.5,94.6,3,2/14/2017,2017,,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV
Dove 3p-22 (0 Flock 3P-22 1028),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,496,507,8.00E-04,97.5,94.6,3,2/14/2017,2017,,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV
Dove 3p-23 (0 Flock 3P-23 1025),NR (10/17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,0,495,506,8.01E-04,97.5,94.6,3,2/14/2017,2017,,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV
